Year, Month, Monthly_MSL, Unverified, Linear_Trend, High_Conf., Low_Conf.
1900,1,,,-0.423,-0.406,-0.440,
1900,2,,,-0.423,-0.406,-0.440,
1900,3,,,-0.422,-0.405,-0.440,
1900,4,,,-0.422,-0.405,-0.439,
1900,5,,,-0.422,-0.404,-0.439,
1900,6,,,-0.421,-0.404,-0.438,
1900,7,,,-0.421,-0.404,-0.438,
1900,8,,,-0.420,-0.403,-0.438,
1900,9,,,-0.420,-0.403,-0.437,
1900,10,,,-0.420,-0.403,-0.437,
1900,11,,,-0.419,-0.402,-0.436,
1900,12,,,-0.419,-0.402,-0.436,
1901,1,,,-0.419,-0.401,-0.436,
1901,2,,,-0.418,-0.401,-0.435,
1901,3,,,-0.418,-0.401,-0.435,
1901,4,,,-0.417,-0.400,-0.434,
1901,5,,,-0.417,-0.400,-0.434,
1901,6,,,-0.417,-0.400,-0.434,
1901,7,,,-0.416,-0.399,-0.433,
1901,8,,,-0.416,-0.399,-0.433,
1901,9,,,-0.415,-0.399,-0.432,
1901,10,,,-0.415,-0.398,-0.432,
1901,11,,,-0.415,-0.398,-0.432,
1901,12,,,-0.414,-0.397,-0.431,
1902,1,,,-0.414,-0.397,-0.431,
1902,2,,,-0.414,-0.397,-0.430,
1902,3,,,-0.413,-0.396,-0.430,
1902,4,,,-0.413,-0.396,-0.430,
1902,5,,,-0.412,-0.396,-0.429,
1902,6,,,-0.412,-0.395,-0.429,
1902,7,,,-0.412,-0.395,-0.428,
1902,8,,,-0.411,-0.394,-0.428,
1902,9,,,-0.411,-0.394,-0.428,
1902,10,,,-0.410,-0.394,-0.427,
1902,11,,,-0.410,-0.393,-0.427,
1902,12,,,-0.410,-0.393,-0.426,
1903,1,,,-0.409,-0.393,-0.426,
1903,2,,,-0.409,-0.392,-0.425,
1903,3,,,-0.408,-0.392,-0.425,
1903,4,,,-0.408,-0.391,-0.425,
1903,5,,,-0.408,-0.391,-0.424,
1903,6,,,-0.407,-0.391,-0.424,
1903,7,,,-0.407,-0.390,-0.423,
1903,8,,,-0.407,-0.390,-0.423,
1903,9,,,-0.406,-0.390,-0.423,
1903,10,,,-0.406,-0.389,-0.422,
1903,11,,,-0.405,-0.389,-0.422,
1903,12,,,-0.405,-0.388,-0.421,
1904,1,,,-0.405,-0.388,-0.421,
1904,2,,,-0.404,-0.388,-0.421,
1904,3,,,-0.404,-0.387,-0.420,
1904,4,,,-0.403,-0.387,-0.420,
1904,5,,,-0.403,-0.387,-0.419,
1904,6,,,-0.403,-0.386,-0.419,
1904,7,,,-0.402,-0.386,-0.419,
1904,8,,,-0.402,-0.386,-0.418,
1904,9,,,-0.401,-0.385,-0.418,
1904,10,,,-0.401,-0.385,-0.417,
1904,11,,,-0.401,-0.384,-0.417,
1904,12,,,-0.400,-0.384,-0.417,
1905,1,,,-0.400,-0.384,-0.416,
1905,2,,,-0.400,-0.383,-0.416,
1905,3,,,-0.399,-0.383,-0.415,
1905,4,,,-0.399,-0.383,-0.415,
1905,5,,,-0.398,-0.382,-0.415,
1905,6,,,-0.398,-0.382,-0.414,
1905,7,,,-0.398,-0.381,-0.414,
1905,8,,,-0.397,-0.381,-0.413,
1905,9,,,-0.397,-0.381,-0.413,
1905,10,,,-0.396,-0.380,-0.413,
1905,11,,,-0.396,-0.380,-0.412,
1905,12,,,-0.396,-0.380,-0.412,
1906,1,,,-0.395,-0.379,-0.411,
1906,2,,,-0.395,-0.379,-0.411,
1906,3,,,-0.394,-0.378,-0.411,
1906,4,,,-0.394,-0.378,-0.410,
1906,5,,,-0.394,-0.378,-0.410,
1906,6,,,-0.393,-0.377,-0.409,
1906,7,,,-0.393,-0.377,-0.409,
1906,8,,,-0.393,-0.377,-0.408,
1906,9,,,-0.392,-0.376,-0.408,
1906,10,,,-0.392,-0.376,-0.408,
1906,11,,,-0.391,-0.376,-0.407,
1906,12,,,-0.391,-0.375,-0.407,
