Year, Month, Monthly_MSL, Unverified, Linear_Trend, High_Conf., Low_Conf.
1920,1,,,-0.492,-0.458,-0.525,
1920,2,,,-0.491,-0.458,-0.525,
1920,3,,,-0.491,-0.457,-0.524,
1920,4,,,-0.490,-0.457,-0.524,
1920,5,,,-0.490,-0.457,-0.523,
1920,6,,,-0.489,-0.456,-0.523,
1920,7,,,-0.489,-0.456,-0.522,
1920,8,,,-0.488,-0.455,-0.522,
1920,9,,,-0.488,-0.455,-0.521,
1920,10,,,-0.487,-0.454,-0.521,
1920,11,,,-0.487,-0.454,-0.520,
1920,12,,,-0.487,-0.454,-0.520,
1921,1,,,-0.486,-0.453,-0.519,
1921,2,,,-0.486,-0.453,-0.518,
1921,3,,,-0.485,-0.452,-0.518,
1921,4,,,-0.485,-0.452,-0.517,
1921,5,,,-0.484,-0.451,-0.517,
1921,6,,,-0.484,-0.451,-0.516,
1921,7,,,-0.483,-0.451,-0.516,
1921,8,,,-0.483,-0.450,-0.515,
1921,9,,,-0.482,-0.450,-0.515,
1921,10,,,-0.482,-0.449,-0.514,
1921,11,,,-0.481,-0.449,-0.514,
1921,12,,,-0.481,-0.448,-0.513,
1922,1,,,-0.480,-0.448,-0.513,
1922,2,,,-0.480,-0.448,-0.512,
1922,3,,,-0.480,-0.447,-0.512,
1922,4,,,-0.479,-0.447,-0.511,
1922,5,,,-0.479,-0.446,-0.511,
1922,6,,,-0.478,-0.446,-0.510,
1922,7,,,-0.478,-0.445,-0.510,
1922,8,,,-0.477,-0.445,-0.509,
1922,9,,,-0.477,-0.445,-0.509,
1922,10,,,-0.476,-0.444,-0.508,
1922,11,,,-0.476,-0.444,-0.508,
1922,12,,,-0.475,-0.443,-0.507,
1923,1,,,-0.475,-0.443,-0.507,
1923,2,,,-0.474,-0.442,-0.506,
1923,3,,,-0.474,-0.442,-0.506,
1923,4,,,-0.473,-0.442,-0.505,
1923,5,,,-0.473,-0.441,-0.505,
1923,6,,,-0.472,-0.441,-0.504,
1923,7,,,-0.472,-0.440,-0.504,
1923,8,,,-0.472,-0.440,-0.503,
1923,9,,,-0.471,-0.439,-0.503,
1923,10,,,-0.471,-0.439,-0.502,
1923,11,,,-0.470,-0.439,-0.502,
1923,12,,,-0.470,-0.438,-0.501,
1924,1,,,-0.469,-0.438,-0.501,
1924,2,,,-0.469,-0.437,-0.500,
1924,3,,,-0.468,-0.437,-0.500,
1924,4,,,-0.468,-0.436,-0.499,
1924,5,,,-0.467,-0.436,-0.499,
1924,6,,,-0.467,-0.436,-0.498,
1924,7,,,-0.466,-0.435,-0.498,
1924,8,,,-0.466,-0.435,-0.497,
1924,9,,,-0.465,-0.434,-0.497,
1924,10,,,-0.465,-0.434,-0.496,
1924,11,,,-0.465,-0.433,-0.496,
1924,12,,,-0.464,-0.433,-0.495,
1925,1,,,-0.464,-0.433,-0.495,
1925,2,,,-0.463,-0.432,-0.494,
1925,3,,,-0.463,-0.432,-0.494,
1925,4,,,-0.462,-0.431,-0.493,
1925,5,,,-0.462,-0.431,-0.493,
1925,6,,,-0.461,-0.430,-0.492,
1925,7,,,-0.461,-0.430,-0.492,
1925,8,,,-0.460,-0.430,-0.491,
1925,9,,,-0.460,-0.429,-0.491,
1925,10,,,-0.459,-0.429,-0.490,
1925,11,,,-0.459,-0.428,-0.490,
1925,12,,,-0.458,-0.428,-0.489,
1926,1,,,-0.458,-0.427,-0.489,
1926,2,,,-0.458,-0.427,-0.488,
1926,3,,,-0.457,-0.427,-0.488,
1926,4,,,-0.457,-0.426,-0.487,
1926,5,,,-0.456,-0.426,-0.487,
1926,6,,,-0.456,-0.425,-0.486,
1926,7,,,-0.455,-0.425,-0.486,
1926,8,,,-0.455,-0.424,-0.485,
1926,9,,,-0.454,-0.424,-0.485,
1926,10,,,-0.454,-0.424,-0.484,
1926,11,,,-0.453,-0.423,-0.483,
1926,12,,,-0.453,-0.423,-0.483,
1927,1,,,-0.452,-0.422,-0.482,
1927,2,,,-0.452,-0.422,-0.482,
1927,3,,,-0.451,-0.421,-0.481,
1927,4,,,-0.451,-0.421,-0.481,
1927,5,,,-0.450,-0.421,-0.480,
1927,6,,,-0.450,-0.420,-0.480,
1927,7,,,-0.450,-0.420,-0.479,
1927,8,,,-0.449,-0.419,-0.479,
1927,9,,,-0.449,-0.419,-0.478,
1927,10,,,-0.448,-0.418,-0.478,
1927,11,,,-0.448,-0.418,-0.477,
1927,12,,,-0.447,-0.417,-0.477,
1928,1,,,-0.447,-0.417,-0.476,
1928,2,,,-0.446,-0.417,-0.476,
1928,3,,,-0.446,-0.416,-0.475,
1928,4,,,-0.445,-0.416,-0.475,
1928,5,,,-0.445,-0.415,-0.474,
1928,6,,,-0.444,-0.415,-0.474,
1928,7,,,-0.444,-0.414,-0.473,
1928,8,,,-0.443,-0.414,-0.473,
1928,9,,,-0.443,-0.414,-0.472,
1928,10,,,-0.443,-0.413,-0.472,
1928,11,,,-0.442,-0.413,-0.471,
1928,12,,,-0.442,-0.412,-0.471,
1929,1,,,-0.441,-0.412,-0.470,
1929,2,,,-0.441,-0.411,-0.470,
