Year, Month, Monthly_MSL, Unverified, Linear_Trend, High_Conf., Low_Conf.
1900,1,,,-0.255,-0.241,-0.269,
1900,2,,,-0.255,-0.241,-0.268,
1900,3,,,-0.254,-0.241,-0.268,
1900,4,,,-0.254,-0.240,-0.268,
1900,5,,,-0.254,-0.240,-0.268,
1900,6,,,-0.254,-0.240,-0.267,
1900,7,,,-0.253,-0.240,-0.267,
1900,8,,,-0.253,-0.240,-0.267,
1900,9,,,-0.253,-0.239,-0.267,
1900,10,,,-0.253,-0.239,-0.266,
1900,11,,,-0.252,-0.239,-0.266,
1900,12,,,-0.252,-0.239,-0.266,
1901,1,,,-0.252,-0.238,-0.266,
1901,2,,,-0.252,-0.238,-0.265,
1901,3,,,-0.252,-0.238,-0.265,
1901,4,,,-0.251,-0.238,-0.265,
1901,5,,,-0.251,-0.237,-0.265,
1901,6,,,-0.251,-0.237,-0.264,
1901,7,,,-0.251,-0.237,-0.264,
1901,8,,,-0.250,-0.237,-0.264,
1901,9,,,-0.250,-0.237,-0.264,
1901,10,,,-0.250,-0.236,-0.263,
1901,11,,,-0.250,-0.236,-0.263,
1901,12,,,-0.249,-0.236,-0.263,
1902,1,,,-0.249,-0.236,-0.263,
1902,2,,,-0.249,-0.235,-0.262,
1902,3,,,-0.249,-0.235,-0.262,
1902,4,,,-0.248,-0.235,-0.262,
1902,5,,,-0.248,-0.235,-0.262,
1902,6,,,-0.248,-0.235,-0.261,
1902,7,,,-0.248,-0.234,-0.261,
1902,8,,,-0.247,-0.234,-0.261,
1902,9,,,-0.247,-0.234,-0.261,
1902,10,,,-0.247,-0.234,-0.260,
1902,11,,,-0.247,-0.233,-0.260,
1902,12,,,-0.246,-0.233,-0.260,
1903,1,,,-0.246,-0.233,-0.259,
1903,2,,,-0.246,-0.233,-0.259,
1903,3,,,-0.246,-0.233,-0.259,
1903,4,,,-0.246,-0.232,-0.259,
1903,5,,,-0.245,-0.232,-0.258,
1903,6,,,-0.245,-0.232,-0.258,
1903,7,,,-0.245,-0.232,-0.258,
1903,8,,,-0.245,-0.231,-0.258,
1903,9,,,-0.244,-0.231,-0.257,
1903,10,,,-0.244,-0.231,-0.257,
1903,11,,,-0.244,-0.231,-0.257,
1903,12,,,-0.244,-0.230,-0.257,
1904,1,,,-0.243,-0.230,-0.256,
1904,2,,,-0.243,-0.230,-0.256,
1904,3,,,-0.243,-0.230,-0.256,
1904,4,,,-0.243,-0.230,-0.256,
1904,5,,,-0.242,-0.229,-0.255,
1904,6,,,-0.242,-0.229,-0.255,
1904,7,,,-0.242,-0.229,-0.255,
1904,8,,,-0.242,-0.229,-0.255,
1904,9,,,-0.241,-0.228,-0.254,
1904,10,,,-0.241,-0.228,-0.254,
1904,11,,,-0.241,-0.228,-0.254,
1904,12,,,-0.241,-0.228,-0.254,
1905,1,,,-0.240,-0.228,-0.253,
1905,2,,,-0.240,-0.227,-0.253,
1905,3,,,-0.240,-0.227,-0.253,
1905,4,,,-0.240,-0.227,-0.253,
1905,5,,,-0.240,-0.227,-0.252,
1905,6,,,-0.239,-0.226,-0.252,
1905,7,,,-0.239,-0.226,-0.252,
1905,8,,,-0.239,-0.226,-0.252,
1905,9,,,-0.239,-0.226,-0.251,
1905,10,,,-0.238,-0.225,-0.251,
1905,11,,,-0.238,-0.225,-0.251,
1905,12,,,-0.238,-0.225,-0.251,
1906,1,,,-0.238,-0.225,-0.250,
1906,2,,,-0.237,-0.225,-0.250,
1906,3,,,-0.237,-0.224,-0.250,
1906,4,,,-0.237,-0.224,-0.250,
