reserve,rate_longterm,CI_low_longterm,CI_high_longterm,rate_19yr,CI_low_19yr,CI_high_19yr,rate_shortterm,CI_low_shortterm,CI_high_shortterm,dates_longterm,dates_19yr,dates_shortterm,,19-yr rate,ci_halfwidth,
APA,2.233537051,1.595713762,2.871360339,5.223018248,2.651942443,7.794094052,9.495085185,-1.152792258,20.14296263,1967-2017,1998-2017,2012-2017,,5.22,2.571075805,2.57
CBM,3.825558596,3.587011293,4.0641059,7.145979906,5.473692173,8.818267639,1.788443593,-2.610784641,6.187671827,1937-2018,1999-2018,2010-2018,,7.15,1.672287733,1.67
CBV,4.658278791,4.436023463,4.88053412,7.18575016,5.185854772,9.185645549,7.645690543,3.232860094,12.05852099,1927-2018,1999-2018,2007-2018,,7.19,1.999895389,2
DEL,3.438727739,3.202004686,3.675450792,4.687603911,2.664227665,6.710980156,4.563367306,1.302147232,7.82458738,1919-2017,1998-2017,2004-2017,,4.69,2.023376245,2.02
ELK,1.57300761,0.746588535,2.399426684,5.186609195,3.311242632,7.061975757,7.56678279,3.832318244,11.30124734,1973-2018,1999-2018,2006-2018,,5.19,1.875366562,1.88
GND,3.621004547,3.025367271,4.216641823,7.373115814,4.196390399,10.54984123,12.24970862,1.591613902,22.90780334,1966-2017,1998-2017,2012-2017,,7.37,3.176725415,3.18
GRB,2.818444289,2.659797778,2.977090799,4.916532366,3.024832436,6.808232297,5.891262528,4.065208041,7.717317015,1921-2017,1998-2017,1999-2017,,4.92,1.891699931,1.89
GTM,2.616234934,2.36061713,2.871852738,4.662451384,2.191606307,7.133296462,3.380182101,-5.778349982,12.53871418,1928-2018,1999-2018,2012-2018,,4.66,2.470845078,2.47
MAR,5.627860461,5.145990813,6.10973011,8.568420955,6.084901737,11.05194017,24.16848965,11.49349734,36.84348197,1937-2018,1999-2018,2013-2018,,8.57,2.483519218,2.48
NAR,2.769342371,2.609295826,2.929388916,4.807913047,3.318765801,6.297060293,4.641073485,-1.81826591,11.10041288,1930-2018,1999-2018,2012-2018,,4.81,1.489147246,1.49
PDB,1.18862251,0.913432482,1.463812538,3.307534325,0.904968036,5.710100613,4.695075036,1.735039462,7.65511061,1934-2017,1998-2017,2002-2017,,3.31,2.402566289,2.4
SOS,1.118015388,0.346691824,1.889338951,2.305214351,-0.401529348,5.01195805,14.04161882,1.303527816,26.77970982,1970-2017,1998-2017,2011-2017,,2.31,2.706743699,2.71
WEL,1.878426723,1.732777532,2.024075914,4.538848969,2.546889357,6.530808581,-3.47322955,-9.085376244,2.138917144,1912-2018,1999-2018,2011-2018,,4.54,1.991959612,1.99
WKB,3.621004547,3.025367271,4.216641823,7.373115814,4.196390399,10.54984123,22.91883663,-8.164267734,54.00194099,1966-2017,1998-2017,2015-2017,,7.37,3.176725415,3.18
WQB,2.858130127,2.681676781,3.034583473,4.324535419,2.763553326,5.885517513,9.230056292,0.086815266,18.37329732,1932-2017,1998-2017,2013-2017,,4.32,1.560982093,1.56
